"Story","Title","Result","Date","Stability","Duration (s)"
"Login to application","Sign in with valid user account","SUCCESS","2023-02-17T13:17:53.5167896+05:30[Asia/Calcutta]","0.0","17.47"
"Login to application","Navigates to new window on same page","SUCCESS","2023-02-17T13:18:11.2911959+05:30[Asia/Calcutta]","0.0","6.46"
